scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,noise_tier
normal_noise_high,9,9,heuristic,12,800,0.1,800,362,300,62,347,169,62,16,46,45,1,0,0.25806451612903225,0.7419354838709677,0.43375,0.375,0.21125,0.5625,0.0,6,10,,False,12,1.0,13,0.005030749744037166,0.05625,1.0,,high
normal_noise_high,9,9,adaptive,12,800,0.1,800,343,267,76,313,64,62,24,38,36,2,0,0.3870967741935484,0.6129032258064516,0.39125,0.33375,0.08,4.208333333333333,2.5,16,12,,False,12,1.0,11,1.142300250903645,0.42083333333333334,1.2000000000000002,,high
normal_noise_high,10,10,sequential,12,800,0.1,800,151,48,103,58,0,51,28,23,21,2,0,0.5490196078431373,0.45098039215686275,0.0725,0.06,0.0,4.071428571428571,4.0,17,2,,False,12,1.0,11,0.0002542497531976551,0.40714285714285714,0.2,,high
normal_noise_high,10,10,random,12,800,0.1,800,143,48,95,57,192,51,25,26,23,3,0,0.49019607843137253,0.5098039215686274,0.07125,0.06,0.24,4.68,2.0,31,3,,False,12,1.0,44,0.0018347506193094887,0.46799999999999997,0.30000000000000004,,high
normal_noise_high,10,10,heuristic,12,800,0.1,800,322,258,64,293,177,51,17,34,34,0,0,0.3333333333333333,0.6666666666666666,0.36625,0.3225,0.22125,1.2352941176470589,0.0,8,2,,False,12,1.0,11,0.004926000292471144,0.12352941176470589,0.2,,high
normal_noise_high,10,10,adaptive,12,800,0.1,800,348,269,79,321,57,51,27,24,22,2,0,0.5294117647058824,0.47058823529411764,0.40125,0.33625,0.07125,3.0,2.0,13,2,,False,12,1.0,11,1.1498273750112276,0.30000000000000004,0.2,,high
normal_noise_high,11,11,sequential,12,800,0.1,800,153,51,102,56,0,64,36,28,28,0,0,0.5625,0.4375,0.07,0.06375,0.0,4.25,4.0,17,2,,False,12,1.0,11,0.0002448747181915678,0.42500000000000004,0.2,,high
normal_noise_high,11,11,random,12,800,0.1,800,136,44,92,48,200,64,27,37,37,0,0,0.421875,0.578125,0.06,0.055,0.25,4.555555555555555,2.0,20,3,,False,12,1.0,32,0.0017912504335981794,0.45555555555555555,0.30000000000000004,,high
normal_noise_high,11,11,heuristic,12,800,0.1,800,246,180,66,206,229,64,28,36,36,0,0,0.4375,0.5625,0.2575,0.225,0.28625,1.25,0.0,21,2,,False,12,1.0,12,0.004950124603055883,0.125,0.2,,high
normal_noise_high,11,11,adaptive,12,800,0.1,800,332,266,66,298,73,64,34,30,30,0,0,0.53125,0.46875,0.3725,0.3325,0.09125,2.4705882352941178,1.0,13,2,,False,12,1.0,11,1.1572642497048946,0.24705882352941178,0.2,,high
normal_noise_high,12,12,sequential,12,800,0.1,800,159,51,108,63,0,57,32,25,20,5,0,0.5614035087719298,0.43859649122807015,0.07875,0.06375,0.0,4.4375,4.5,11,5,,False,12,1.0,11,0.0002613749529700726,0.44375000000000003,0.5,,high
