scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s
normal,15,15,heuristic,12,800,0.1,800,329,321,8,333,281,57,20,37,37,0,0,0.3508771929824561,0.6491228070175439,0.41625,0.40125,0.35125,0.45,0.0,6.0,2.0,,False,12,1.0,11,0.029260624978633132,0.045000000000000005,0.2,
normal,15,15,adaptive,12,800,0.1,800,323,312,11,323,96,57,29,28,28,0,0,0.5087719298245614,0.49122807017543857,0.40375,0.39,0.12,2.9310344827586206,1.0,21.0,2.0,,False,12,1.0,11,6.378666624659672,0.29310344827586204,0.2,
normal,16,16,sequential,12,800,0.1,800,75,59,16,60,0,59,35,24,24,0,0,0.5932203389830508,0.4067796610169492,0.075,0.07375,0.0,4.285714285714286,4.0,13.0,2.0,,False,12,1.0,11,0.0019162491662427785,0.4285714285714286,0.2,
normal,16,16,random,12,800,0.1,800,66,50,16,50,247,59,26,33,33,0,0,0.4406779661016949,0.559322033898305,0.0625,0.0625,0.30875,6.884615384615385,3.0,46.0,3.0,,False,12,1.0,29,0.017732874293869827,0.6884615384615386,0.30000000000000004,
normal,16,16,heuristic,12,800,0.1,800,217,204,13,211,391,59,25,34,34,0,0,0.423728813559322,0.576271186440678,0.26375,0.255,0.48875,4.16,0.0,53.0,3.0,,False,12,1.0,12,0.03188487498846371,0.41600000000000004,0.30000000000000004,
normal,16,16,adaptive,12,800,0.1,800,326,314,12,325,98,59,33,26,26,0,0,0.559322033898305,0.4406779661016949,0.40625,0.3925,0.1225,2.606060606060606,2.0,11.0,2.0,,False,12,1.0,11,6.361577249153925,0.2606060606060606,0.2,
normal,17,17,sequential,12,800,0.1,800,85,69,16,74,0,71,44,27,26,1,0,0.6197183098591549,0.38028169014084506,0.0925,0.08625,0.0,4.909090909090909,4.0,23.0,5.0,,False,12,1.0,11,0.0016302500443998724,0.49090909090909096,0.5,
normal,17,17,random,12,800,0.1,800,71,61,10,64,258,71,29,42,42,0,0,0.4084507042253521,0.5915492957746479,0.08,0.07625,0.3225,6.068965517241379,5.0,21.0,4.0,,False,12,1.0,27,0.016349875295418315,0.6068965517241379,0.4,
normal,17,17,heuristic,12,800,0.1,800,391,384,7,391,229,71,24,47,47,0,0,0.3380281690140845,0.6619718309859155,0.48875,0.48,0.28625,2.0833333333333335,0.0,36.0,5.0,,False,12,1.0,13,0.028294124858803116,0.20833333333333337,0.5,
normal,17,17,adaptive,12,800,0.1,800,375,363,12,370,79,71,38,33,33,0,0,0.5352112676056338,0.4647887323943662,0.4625,0.45375,0.09875,2.6052631578947367,2.0,12.0,5.0,,False,12,1.0,11,5.86971349966916,0.26052631578947366,0.5,
normal,18,18,sequential,12,800,0.1,800,78,59,19,59,0,58,35,23,23,0,0,0.603448275862069,0.39655172413793105,0.07375,0.07375,0.0,4.514285714285714,5.0,10.0,2.0,,False,12,1.0,11,0.0015756249558762647,0.45142857142857146,0.2,
normal,18,18,random,12,800,0.1,800,57,41,16,41,258,58,22,36,36,0,0,0.3793103448275862,0.6206896551724138,0.05125,0.05125,0.3225,6.0,5.0,20.0,2.0,,False,12,1.0,19,0.015859874874877278,0.6000000000000001,0.2,
normal,18,18,heuristic,12,800,0.1,800,318,310,8,321,306,58,17,41,41,0,0,0.29310344827586204,0.7068965517241379,0.40125,0.3875,0.3825,1.2352941176470589,0.0,6.0,2.0,,False,12,1.0,11,0.028888250344607513,0.12352941176470589,0.2,
normal,18,18,adaptive,12,800,0.1,800,329,317,12,326,103,58,33,25,25,0,0,0.5689655172413793,0.43103448275862066,0.4075,0.39625,0.12875,2.5454545454545454,2.0,15.0,2.0,,False,12,1.0,11,6.104539375410241,0.2545454545454546,0.2,
normal,19,19,sequential,12,800,0.1,800,79,66,13,69,0,58,33,25,25,0,0,0.5689655172413793,0.43103448275862066,0.08625,0.0825,0.0,4.424242424242424,4.0,11.0,5.0,,False,12,1.0,11,0.001498374913353473,0.4424242424242424,0.5,
normal,19,19,random,12,800,0.1,800,87,59,28,61,242,58,24,34,34,0,0,0.41379310344827586,0.5862068965517241,0.07625,0.07375,0.3025,7.125,6.0,20.0,1.0,,False,12,1.0,43,0.015673874477215577,0.7125,0.1,
normal,19,19,heuristic,12,800,0.1,800,390,377,13,393,240,58,15,43,43,0,0,0.25862068965517243,0.7413793103448276,0.49125,0.47125,0.3,2.2666666666666666,0.0,22.0,3.0,,False,12,1.0,11,0.027356625214451924,0.22666666666666668,0.30000000000000004,
normal,19,19,adaptive,12,800,0.1,800,362,358,4,374,78,58,28,30,30,0,0,0.4827586206896552,0.5172413793103449,0.4675,0.4475,0.0975,4.5,2.5,15.0,5.0,,False,12,1.0,11,5.79886137496942,0.45,0.5,
