metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note,scenario
scan_efficiency,heuristic,adaptive,30,0.5398333333333334,0.6311666666666667,0.09133333333333334,1.00385077812086,5.498317155459085,6.356494085742551e-06,20.0,1.948542377196912e-05,True,,dynamic
on_target_scan_rate,heuristic,adaptive,30,0.5572083333333333,0.6516249999999999,0.09441666666666668,1.0270476399248094,5.625371600192615,4.4714918951927595e-06,17.5,1.5269342989411445e-05,True,,dynamic
redundant_scan_rate,heuristic,adaptive,30,0.21608333333333332,0.01275,-0.20333333333333334,-2.2948845143486376,-12.569600153780367,2.9126975567626875e-13,0.0,1.7333066441991056e-06,True,,dynamic
detection_rate,sequential,adaptive,30,0.7586163119412371,0.5966607664610521,-0.16195554548018484,-2.480140669392892,-13.584289904124493,4.207726501470435e-14,0.0,1.7333066441991056e-06,True,,emerging_signal
mean_detection_delay_slots,sequential,adaptive,30,4.959298666443511,5.865583228136162,0.9062845616926526,0.807464914436501,4.422667480308505,0.0001257021766992942,55.0,9.90256667137146e-05,True,,emerging_signal
scan_efficiency,sequential,adaptive,30,0.11150000000000003,0.558,0.44650000000000006,15.152037652125099,82.99112814236531,4.945894376549666e-36,0.0,1.7333066441991056e-06,True,,emerging_signal
on_target_scan_rate,sequential,adaptive,30,0.11474999999999999,0.5752083333333332,0.46045833333333336,15.117353913281395,82.80115748093216,5.284330923961799e-36,0.0,1.7333066441991056e-06,True,,emerging_signal
redundant_scan_rate,sequential,adaptive,30,0.0,0.043916666666666666,0.043916666666666666,3.4778562608771177,19.04900325842969,6.12181629488992e-18,0.0,1.712686559944352e-06,True,,emerging_signal
detection_rate,random,adaptive,30,0.6290356346328678,0.5966607664610521,-0.03237486817181563,-0.4438582795607898,-2.431111920508788,0.021465439778675023,121.5,0.03789870093246744,True,,emerging_signal
mean_detection_delay_slots,random,adaptive,30,6.528234181654647,5.865583228136162,-0.6626509535184849,-0.3697066827295031,-2.024966897913545,0.052164104888062855,151.0,0.09610157273709774,False,,emerging_signal
scan_efficiency,random,adaptive,30,0.113125,0.558,0.44487499999999996,14.586378164573318,79.89288353037608,1.4839132704905074e-35,0.0,1.7278603148724103e-06,True,,emerging_signal
on_target_scan_rate,random,adaptive,30,0.11637499999999999,0.5752083333333332,0.4588333333333333,14.553614647033497,79.71343035417831,1.5834545543079728e-35,0.0,1.732216233144114e-06,True,,emerging_signal
redundant_scan_rate,random,adaptive,30,0.28929166666666667,0.043916666666666666,-0.245375,-17.129856396030384,-93.82408754929989,1.4276096211283273e-37,0.0,1.726772765612998e-06,True,,emerging_signal
detection_rate,heuristic,adaptive,30,0.4431361217348391,0.5966607664610521,0.15352464472621305,2.049532331555543,11.225750903291283,4.498354980164872e-12,0.0,1.862645149230957e-09,True,,emerging_signal
mean_detection_delay_slots,heuristic,adaptive,30,3.2316353533915905,5.865583228136162,2.633947874744573,1.323104971455533,7.246944388134244,5.579700244697015e-08,16.0,3.1478703022003174e-07,True,,emerging_signal
scan_efficiency,heuristic,adaptive,30,0.4973333333333333,0.558,0.06066666666666666,0.77246553941144,4.230968008310416,0.00021298207820443567,68.5,0.0007427383173138495,True,,emerging_signal
on_target_scan_rate,heuristic,adaptive,30,0.512375,0.5752083333333332,0.06283333333333332,0.7829623309285456,4.288461303263892,0.00018188950116745762,59.0,0.0006087669009628581,True,,emerging_signal
redundant_scan_rate,heuristic,adaptive,30,0.27341666666666664,0.043916666666666666,-0.22949999999999998,-2.7764911560312675,-15.207468368719208,2.3556008490962e-15,0.0,1.732216233144114e-06,True,,emerging_signal
detection_rate,sequential,adaptive,30,0.6466379268333011,0.4057594361566549,-0.24087849067664607,-7.3500571780900295,-40.25792115392675,5.284412720570933e-27,0.0,1.862645149230957e-09,True,,high_activity
mean_detection_delay_slots,sequential,adaptive,30,4.737319768697793,11.31847346845266,6.581153699754869,6.9740558691690095,38.19847716845164,2.3577539701107026e-26,0.0,1.862645149230957e-09,True,,high_activity
scan_efficiency,sequential,adaptive,30,0.3744166666666666,0.7134166666666667,0.33900000000000013,42.792041213393766,234.38166254266503,4.372877703518162e-49,0.0,1.714847401033251e-06,True,,high_activity
on_target_scan_rate,sequential,adaptive,30,0.38583333333333325,0.7347083333333333,0.34887499999999994,42.80851251105058,234.4718795554452,4.324370650448962e-49,0.0,1.7256857880058036e-06,True,,high_activity
redundant_scan_rate,sequential,adaptive,30,0.0,0.0011666666666666665,0.0011666666666666665,0.8167840291256567,4.473710373620787,0.00010918370764840111,0.0,0.00033207269679993556,True,,high_activity
